sentimen,berita
1,Gubernur Edy Tutup Semua Akses Sebuah Pesantren Melarang Siswa Belajar dan Sekap Sejumlah Guru
1,Video Pernyataan Mantan Wakapolri Komjen Syafruddin akan Memecat Anggota Polri yang Terbukti Bersalah dalam Demo UU Cipta Kerja
1,Surat Mengatasnamakan Gubernur Wahidin Halim Meminta Dana Pengamanan Pilkada 2020
1,Pernyataan Buya Syafii soal Omnibus Law
1,Penjarahan ITC Roxy Mas pada saat aksi massa Omnibus Law
1,Penjarahan Thamrin City
1,Video Persiapan Pasukan untuk Menghalau Kelompok Perusuh saat Demo
1,Guru dan Ustaz Masuk Kelompok Pertama yang Terima Vaksin Covid-19 TNI dan Polri Tidak Termasuk
1,Polisi Dandani Orang Menyerupai Laskar FPI dan Dibekali Ketapel di Sekitaran Monas
1,Video Rombongan FPI Bermotor saatDemonstrasi 13 Oktober 2020
1,Pemadaman Listrik Malam Hari Siaga 1 Jelang 30 September
1,Waspada Ada Penculik Anak Menyamar dalam Kampung
1,Kabar Rencana Tawuran Besar di Gang Aut Bogor
1,Pesan WhatsApp Mengatasnamakan Pejabat Tinggi Pemprov NTB
1,Postingan Anak yang Dibuang Orang Tuanya dengan Surat
1,Foto Uya Kuya Bertanya ke Wakil Presiden Ma'ruf Amin Apa yang Dikerjakan Selama Ini
1,Dua Orang Pria Meninggal Dunia Akibat Kekerasan Polisi saat Aksi Protes Anti-Vaksin dan Anti-Masker di London
1,Gunung Salak Terbelah Menjadi Tiga
1,Video Pengiriman Sekardus Mie Instan Menggunakan Drone
1,Pesan Berantai Undian Hadiah Uang Tunaidari Telkomsel
1,Mesin EDC TrueMoney sudah Tersedia
1,Lintang Kemukus di Tuban Pertanda Bahaya
1,Tidak Ada Media Televisi yang MenyiarkanBersatunya Pendemo di Lampung
1,Kebakaran Sebuah Kafe di Malioboro karena Gas Air Mata
1,Pungli di Jalan By Pass Padang
1,Langkah untuk mendaftar Prakerja Kunjungi Situs Prakerja.vip
1,Pesan WhatsApp Bupati Sragen Galang Dana untuk Pondok dan Panti
1,GERD Picu Kematian Mendadak
1,Program Pengobatan Gratis Rumah SakitPanti Wilasa Citarum
1,Surat Panggilan Interview PT HM SAMPOERNATbk. Oktober 2020
1,Najwa Shihab Tulis Kode Minta Tolong LewatKertas saat Membawakan Acara
1,Video Eks Wakapolri soal Polisi Pukuli Pendemo
1,Foto “Pengumuman Pabrik Tidak Beroperasi”
1,Tolak Omnibus Law Mahasiswa Tabrakan Mobil Pikap ke Arah Kerumunan Polisi
1,TNI Berikan Tameng ke Peserta Demo Tolak UU Cipta Kerja
1,Maklumat KSAD untuk Siaga Aksi 20 Oktober 2020
1,Tikus Raksasa Ditemukan di Meksiko
1,Pamflet Jadwal Keberangkatan Kereta Api Nusa Ekspres
1,Bill Gates Kantongi Rp2,9 Kuadriliun dari Penjualan Vaksin Virus Corona
1,Arief Puyouno: Saya Yakin Dana Penanggulangan Covid-19 di DKI Banyak Penyimpangan Karena Gabenernya Adalah Kaki Tangan Kadrun Gila
1,Semua Keluarga Pemilik Kartu BPJS akan Dapat BLT Rp4 Juta
1,Petinggi PKI DN Aidit Keturunan Habaib
1,Vaksin Corona Asal Tiongkok Mengandung Babi
1,Penutupan Bandara dan Pelabuhan Laut di NTT
1,SMS Mengatasnamakan STMIK Royal Kisaran
1,Uang Rp75 Ribu Bisa Menampilkan Video Musik
1,Tak Ada Televisi yang Memberitakan AniesBaswedan Menerima Tiga Penghargaan dariKPK
1,WHO Sudah Restui Vaksin Covid-19 Asal China
1,Pemilik Rumah Makan Menjadi Korban Pungli Satpol PP di Pademangan Jakarta Utara Saat PSBB
1,Mengoleskan Kelapa Parut Kunyit dan Pare Bisa Hilangkan Stretch Mark
1,Foto Wakil Presiden KH Ma'ruf Amin Bergaya Ala K-Pop
1,Rutin Minum Air Putih Hangat Cegah Asma dan Kanker
1,Tim Medis Mengubur Jenazah seperti Binatang
1,Artikel Detiktravel berjudul Trans Studio Bandung Tutup Mulai Hari ini Untuk Cegah Penyebaran Virus Corona di Bandung
1,Islamic Center Padang Panjang Tak Terawat
1,Presiden Jokowi Takut Datang ke Markas PBB karena Ancaman Sniper
1,Pilkada Jangan Ditunda Pilpres Tunda 7 Tahun Lagi
1,Foto Penangkapan Direktur National Institute for Allergy and Infectious Diseases (NIAID)
1,Informasi Grup WhatsApp untuk Wilayah Covid-19 dan Pembagian Vaksin
1,Akun Facebook Mengatasnamakan Gubernur Tanjungpinang Beserta Istri
1,Pesan WhatsApp Mengatasnamakan DJP Kabupaten Pati
1,Mobil Esemka Keluaran Terbaru Siap Mengangkut Korban Covid-19
1,Nelayan Kodingareng Dimanfaatkan Walhi untuk Tolak Tambang Pasir di Sulsel
1,Tidak Diputarnya Film G30S/PKI Menunjukan Indonesia Negara Komunis
1,Facebook Larang Live Musik Mulai 1 Oktober 2020
1,Flu Membunuh 14 Kali Lipat Daripada Covid-19
1,Pesan Berantai Sultan Hamengkubuwono X Sebut Positif Negatif Corona Podowae
1,Foto Habib Rizieq Shihab Memakai Serban Berlogo Palu Arit
1,Tenggorokan Kering Meningkatkan Risiko Infeksi
1,MUI Mencantumkan Logo Halal di Asbak
1,Blog Atas Nama Akhyar Nasution Plt Wali Kota Medan
1,Bambang Trihatmodjo Buktikan Jokowi Berasal dari Keluarga PKI
1,Hadiah Uang Tunai Program Semarak Lazada 2020
1,Fatwa Hukum Kisas Dikeluarkan untuk Penyerangan Ulama
1,Donald Trump Sindir Isi Pidato Jokowi di PBB
1,Akun Facebook Mengatasnamakan Walikota Tanjungpinang
1,Usai Teror Warga di Papua OPM Siap Buru Banser
1,Bupati Bintan Janjikan Pekerjaan sebagai Honorer
1,Anies Juara Pertama Lomba Ngomong Tingkat Internasional
1,Yosi Project Pop Ketua Influencer Pendukung Pemerintah
1,Pasangan Pengantin Baru Menikah Setelah 40 Tahun Pacaran
1,Foto Anies Baswedan Masuk Peti Mati
1,Ikan Hiu Tersangkut di Tiang Listrik karena Badai Laura
1,Foto Unggahan Twitter Tempo.co Edisi Para Pendengung
1,Lazada Indonesia Lagi Ngadain Giveaway Ponsel dan Uang Tunai
1,Pembukaan Pendaftaran Peserta Transmigrasi Provinsi Kalimantan Tengah
1,Akun Facebook Mengatasnamakan Wali Kota Sibolga
1,HRS Dilaporkan Tewas Tertabrak Unta pada Acara Balapan Unta di Arab Saudi
1,Pengumpulan Massa PSHT di Kota Solo
1,Video Tokek Sepanjang 1 Meter Seharga Rp1Triliun
1,Elvy Sukaesih Meninggal Dunia karenaCovid-19
1,Pilkada Serentak Ditunda Kecuali di Solo dan Medan
