sentimen,teks
1,gubernur edy tutup semua akses buah pesantren larang siswa ajar sekap jumlah guru
1,video nyata mantan wakapolri komjen syafruddin pecat anggota polri bukti salah demo uu cipta kerja
1,surat mengatasnamakan gubernur wahidin halim minta dana aman pilkada
1,nyata buya syafii soal omnibus law
1,jarah itc roxy mas saat aksi massa omnibus law
1,jarah thamrin city
1,video siap pasu halau kelompok rusuh demo
1,guru ustaz masuk kelompok pertama terima vaksin covid tni polri masuk
1,polisi dandan orang rupa laskar fpi bekal ketapel sekitar monas
1,video rombong fpi motor saatdemonstrasi oktober
1,madam listrik malam hari siaga jelang september
1,waspada culik anak samar kampung
1,kabar rencana tawur besar gang aut bogor
1,pesan whatsapp mengatasnamakan jabat tinggi pemprov ntb
1,postingan anak buang orang tua surat
1,foto uya kuya tanya wakil presiden maruf amin apa kerja lama
1,orang pria tinggal dunia akibat keras polisi aksi protes antivaksin antimasker london
1,gunung salak belah jadi tiga
1,video kirim kardus mie instan guna drone
1,pesan beranta undi hadiah uang tunaidari telkomsel
1,mesin edc truemoney sedia
1,lintang kemukus tuban tanda bahaya
1,ada media televisi menyiarkanbersatunya demo lampung
1,bakar buah kafe malioboro gas air mata
1,pungli jalan by pass padang
1,langkah daftar prakerja kunjung situs prakerjavip
1,pesan whatsapp bupati sragen galang dana pondok panti
1,gerd picu mati dadak
1,program obat gratis rumah sakitpanti wilasa citarum
1,surat panggil interview pt hm sampoernatbk oktober
1,najwa shihab tulis kode minta lewatkertas bawa acara
1,video eks wakapolri soal polisi pukul demo
1,foto umum pabrik operasi
1,tolak omnibus law mahasiswa tabrak mobil pikap arah kerumun polisi
1,tni ikan tameng serta demo tolak uu cipta kerja
1,maklumat ksad siaga aksi oktober
1,tikus raksasa temu meksiko
1,pamflet jadwal berangkat kereta api nusa ekspres
1,bill gates kantong rp
1,arief puyouno yakin dana tanggulang covid dki banyak simpang gabenernya kaki tangan kadrun gila
1,semua keluarga milik kartu bpjs dapat blt rp juta
1,petinggi pki dn aidit turun habaib
1,vaksin corona asal tiongkok kandung babi
1,tutup bandara labuh laut ntt
1,sms mengatasnamakan stmik royal kisar
1,uang rp ribu tampil video musik
1,tak televisi berita aniesbaswedan terima tiga harga darikpk
1,who restu vaksin covid asal china
1,milik rumah makan jadi korban pungli satpol pp pademangan jakarta utara psbb
1,oles kelapa parut kunyit pare hilang stretch mark
1,foto wakil presiden kh maruf amin gaya ala kpop
1,rutin minum air putih hangat cegah asma kanker
1,tim medis kubur jenazah binatang
1,artikel detiktravel judul trans studio bandung tutup mulai hari untuk cegah sebar virus corona bandung
1,islamic center padang panjang tak awat
1,presiden jokowi takut datang markas pbb ancam sniper
1,pilkada jangan tunda pilpres tunda tahun
1,foto tangkap direktur national institute for allergy and infectious diseases niaid
1,informasi grup whatsapp wilayah covid bagi vaksin
1,akun facebook mengatasnamakan gubernur tanjungpinang serta istri
1,pesan whatsapp mengatasnamakan djp kabupaten pati
1,mobil esemka keluar baru siap angkut korban covid
1,nelayan kodingareng manfaat walhi tolak tambang pasir sulsel
1,putar film gspki tunjuk indonesia negara komunis
1,facebook larang live musik mulai oktober
1,flu bunuh kali lipat covid
1,pesan beranta sultan hamengkubuwono x sebut positif negatif corona podowae
1,foto habib rizieq shihab pakai serban logo palu arit
1,tenggorok kering tingkat risiko infeksi
1,mui cantum logo halal asbak
1,blog atas nama akhyar nasution plt wali kota medan
1,bambang trihatmodjo bukti jokowi asal keluarga pki
1,hadiah uang tunai program semarak lazada
1,fatwa hukum kisas keluar serang ulama
1,donald trump sindir isi pidato jokowi pbb
1,akun facebook mengatasnamakan walikota tanjungpinang
1,usai teror warga papua opm siap buru banser
1,bupati bintan janji kerja honorer
1,anies juara pertama lomba ngomong tingkat internasional
1,yos project pop ketua influencer dukung perintah
1,pasang pengantin baru meni tahun pacar
1,foto anies baswedan masuk peti mati
1,ikan hiu sangkut tiang listrik badai laura
1,foto unggah twitter tempoco edisi dengung
